省份,运营商,133 号段,153 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
新疆,电信,1336961,,1739941,1779911,1809681,1813090,1899931,1909911,1919911,1932541,1999091
新疆,电信,1336962,,1739942,1779912,1809682,1813091,1899932,1909912,1919912,1932542,1999092
新疆,电信,1336963,,1739943,1779913,1809683,1813092,1899933,1909913,1919913,1932543,1999093
新疆,电信,1336964,,1739944,1779914,1809684,1813093,1899934,1909914,1919914,1932544,1999094
新疆,电信,1336965,,1739945,1779915,1809685,1813094,1899935,1909915,1919915,1932545,1999095
新疆,电信,1336966,,1739946,1779916,1809686,1813095,1899936,1909916,1919916,1932546,1999096
新疆,电信,1336967,,1739947,1779917,1809687,1813096,1899937,1909917,1919917,1932547,1999097
新疆,电信,1336968,,1739948,1779918,1809688,1813097,1899938,1909918,1919918,1932548,1999098
新疆,电信,1336969,,1739949,1779919,1809689,1813098,1899939,1909919,1919919,1932549,1999099
新疆,电信,1336980,,1739950,1779920,1809690,1813099,1899940,,1919920,1932650,1999670
新疆,电信,1336981,,1739951,1779921,1809691,1813480,1899941,,1919921,1932651,1999671
新疆,电信,1336982,,1739952,1779922,1809692,1813481,1899942,,1919922,1932652,1999672
新疆,电信,1336983,,1739953,1779923,1809693,1813482,1899943,,1919923,1932653,1999673
新疆,电信,1336984,,1739954,1779924,1809694,1813483,1899944,,1919924,1932654,1999674
新疆,电信,1336985,,1739955,1779925,1809695,1813484,1899945,,1919925,1932655,1999675
新疆,电信,1336986,,1739956,1779926,1809696,1813485,1899946,,1919926,1932656,1999676
新疆,电信,1336987,,1739957,1779927,1809697,1813486,1899947,,1919927,1932657,1999677
新疆,电信,1336988,,1739958,1779928,1809698,1813487,1899948,,1919928,1932658,1999678
新疆,电信,1336989,,1739959,1779929,1809699,1813488,1899949,,1919929,1932659,1999679
新疆,电信,1336990,,1739990,1779930,1809750,1813489,1899950,,1919940,1932660,1999910
新疆,电信,1336991,,1739991,1779931,1809751,1813900,1899951,,1919941,1932661,1999911
新疆,电信,1336992,,1739992,1779932,1809752,1813901,1899952,,1919942,1932662,1999912
新疆,电信,1336993,,1739993,1779933,1809753,1813902,1899953,,1919943,1932663,1999913
新疆,电信,1336994,,1739994,1779934,1809754,1813903,1899954,,1919944,1932664,1999914
新疆,电信,1336995,,1739995,1779935,1809755,1813904,1899955,,1919945,1932665,1999915
新疆,电信,1336996,,1739996,1779936,1809756,1813905,1899956,,1919946,1932666,1999916
新疆,电信,1336997,,1739997,1779937,1809757,1813906,1899957,,1919947,1932667,1999917
新疆,电信,1336998,,,1779938,1809758,1813907,1899958,,1919948,1932668,1999918
新疆,电信,1336999,,,1779939,1809759,1813908,1899959,,1919949,1932669,1999919
新疆,电信,1337970,,,1779940,1809760,1813909,1899960,,1919950,1932670,1999920
新疆,电信,1337971,,,1779941,1809761,1813910,1899961,,1919951,1932671,1999921
新疆,电信,1337972,,,1779942,1809762,1813911,1899962,,1919952,1932672,1999922
新疆,电信,1337973,,,1779943,1809763,1813912,1899963,,1919953,1932673,1999923
新疆,电信,1337974,,,1779944,1809764,1813913,1899964,,1919954,1932674,1999924
