省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,150 号段,151 号段,152 号段,157 号段,158 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
甘肃,移动,,,1368932,,1383090,1391980,1471962,1509572,1511712,1529322,1579115,,,,,1788082,1821992,1839372,1841912,1879322,1889382,1957065,,1989348
甘肃,移动,,,1368933,,1383091,1391981,1471963,1509573,1511713,1529323,1579116,,,,,1788083,1821993,1839373,1841913,1879323,1889383,1957066,,1989349
甘肃,移动,,,1368934,,1383092,1391982,1471964,1509574,1511714,1529324,1579117,,,,,1788084,1821994,1839374,1841914,1879324,1889384,1957067,,1989350
甘肃,移动,,,1368935,,1383093,1391983,1471965,1509575,1511715,1529325,1579118,,,,,1788085,1821995,1839375,1841915,1879325,1889385,1957068,,1989351
甘肃,移动,,,1368936,,1383094,1391984,1471966,1509576,1511716,1529326,1579119,,,,,1788086,1821996,1839376,1841916,1879326,1889386,1957069,,1989352
甘肃,移动,,,1368937,,1383095,1391985,1471967,1509577,1511717,1529327,1579122,,,,,1788087,1821997,1839377,1841917,1879327,1889387,1957070,,1989353
甘肃,移动,,,1368938,,1383096,1391986,1471968,1509578,1511718,1529328,1579133,,,,,1788088,1821998,1839378,1841918,1879328,1889388,1957071,,1989354
甘肃,移动,,,1368939,,1383097,1391987,1471969,1509579,1511719,1529329,1579155,,,,,1788089,1821999,1839379,1841919,1879329,1889389,1957072,,1989355
甘肃,移动,,,1368940,,1383098,1391988,1476583,1509700,1511720,1529330,1579177,,,,,1789250,1829300,1839380,1841920,1879330,1889390,1957073,,1989356
甘肃,移动,,,1368941,,1383099,1391989,1476640,1509701,1511721,1529331,1579191,,,,,1789251,1829301,1839381,1841921,1879331,1889391,1957074,,1989357
甘肃,移动,,,1368942,,1388400,1391990,1476641,1509702,1511722,1529332,1579199,,,,,1789252,1829302,1839382,1841922,1879332,1889392,1957075,,1989358
甘肃,移动,,,1368943,,1388401,1391991,1479330,1509703,1511723,1529333,1579233,,,,,1789253,1829303,1839383,1841923,1879333,1889393,1957076,,1989359
甘肃,移动,,,1368944,,1388402,1391992,1479331,1509704,1511724,1529334,1579248,,,,,1789254,1829304,1839384,1841924,1879334,1889394,1957077,,1989360
甘肃,移动,,,1368945,,1388403,1391993,1479332,1509705,1511725,1529335,1579249,,,,,1789255,1829305,1839385,1841925,1879335,1889395,1957078,,1989361
甘肃,移动,,,1368946,,1388404,1391994,1479333,1509706,1511726,1529336,1579254,,,,,1789256,1829306,1839386,1841926,1879336,1889396,1957079,,1989362
甘肃,移动,,,1368947,,1388405,1391995,1479334,1509707,1511727,1529337,1579264,,,,,1789257,1829307,1839387,1841927,1879337,1889397,1958660,,1989363
甘肃,移动,,,1368948,,1388406,1391996,1479335,1509708,1511728,1529338,1579346,,,,,1789258,1829308,1839388,1841928,1879338,1889398,1958661,,1989364
甘肃,移动,,,1368949,,1388407,1391997,1479336,1509709,1511729,1529339,1579476,,,,,1789259,1829309,1839389,1841929,1879339,1889399,1958662,,1989365
甘肃,移动,,,,,1388408,1391998,1479337,1509710,1512040,1529340,1579684,,,,,1789930,1829310,1839390,1841930,1879340,1889400,1958663,,1989366
甘肃,移动,,,,,1388409,1391999,1479338,1509711,1512041,1529341,,,,,,1789931,1829311,1839391,1841931,1879341,1889401,1958664,,1989367
甘肃,移动,,,,,1388410,1399300,1479339,1509712,1512042,1529342,,,,,,1789932,1829312,1839392,1841932,1879342,1889402,1958665,,1989368
甘肃,移动,,,,,1388411,1399301,1479340,1509713,1512043,1529343,,,,,,1789933,1829313,1839393,1841933,1879343,1889403,1958666,,1989369
甘肃,移动,,,,,1388412,1399302,1479341,1509714,1512044,1529344,,,,,,1789934,1829314,1839394,1841934,1879344,1889404,1958667,,1989370
甘肃,移动,,,,,1388413,1399303,1479342,1509715,1512045,1529345,,,,,,1789935,1829315,1839395,1841935,1879345,1889405,1958668,,1989371
甘肃,移动,,,,,1388414,1399304,1479343,1509716,1512046,1529346,,,,,,1789936,1829316,1839396,1841936,1879346,1889406,1958669,,1989372
甘肃,移动,,,,,1388415,1399305,1479344,1509717,1512047,1529347,,,,,,1789937,1829317,1839397,1841937,1879347,1889407,1959300,,1989373
甘肃,移动,,,,,1388416,1399306,1479345,1509718,1512048,1529348,,,,,,1789938,1829318,1839398,1841938,1879348,1889408,1959301,,1989374
甘肃,移动,,,,,1388417,1399307,1479346,1509719,1512049,1529349,,,,,,1789939,1829319,1839399,1841939,1879349,1889409,1959302,,1989375
