省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185号段,186 号段,196 号段
重庆,联通,,,1327269,,,1569699,,,,,,1858089,,
重庆,联通,,,1327270,,,,,,,,,1858090,,
重庆,联通,,,1327271,,,,,,,,,1858091,,
重庆,联通,,,1327272,,,,,,,,,1858092,,
重庆,联通,,,1327273,,,,,,,,,1858093,,
重庆,联通,,,1327274,,,,,,,,,1858094,,
重庆,联通,,,1327275,,,,,,,,,1858095,,
重庆,联通,,,1327276,,,,,,,,,1858096,,
重庆,联通,,,1327277,,,,,,,,,1858097,,
重庆,联通,,,1327278,,,,,,,,,1858098,,
重庆,联通,,,1327279,,,,,,,,,1858099,,
重庆,联通,,,1327280,,,,,,,,,1858100,,
重庆,联通,,,1327281,,,,,,,,,1858101,,
重庆,联通,,,1327282,,,,,,,,,1858102,,
重庆,联通,,,1327283,,,,,,,,,1858103,,
重庆,联通,,,1327284,,,,,,,,,1858104,,
重庆,联通,,,1327285,,,,,,,,,1858105,,
重庆,联通,,,1327286,,,,,,,,,1858106,,
重庆,联通,,,1327287,,,,,,,,,1858107,,
重庆,联通,,,1327288,,,,,,,,,1858108,,
重庆,联通,,,1327289,,,,,,,,,1858109,,
重庆,联通,,,1327290,,,,,,,,,1858110,,
重庆,联通,,,1327291,,,,,,,,,1858111,,
重庆,联通,,,1327292,,,,,,,,,1858112,,
重庆,联通,,,1327293,,,,,,,,,1858113,,
重庆,联通,,,1327294,,,,,,,,,1858114,,
重庆,联通,,,1327295,,,,,,,,,1858115,,
重庆,联通,,,1327296,,,,,,,,,1858116,,
重庆,联通,,,1327297,,,,,,,,,1858117,,
重庆,联通,,,1327298,,,,,,,,,1858118,,
重庆,联通,,,1327299,,,,,,,,,1858119,,
重庆,联通,,,1327400,,,,,,,,,1858120,,
重庆,联通,,,1327401,,,,,,,,,1858121,,
重庆,联通,,,1327402,,,,,,,,,1858122,,
重庆,联通,,,1327403,,,,,,,,,1858123,,
重庆,联通,,,1327404,,,,,,,,,1858124,,
重庆,联通,,,1327405,,,,,,,,,1858125,,
重庆,联通,,,1327406,,,,,,,,,1858126,,
重庆,联通,,,1327407,,,,,,,,,1858127,,
重庆,联通,,,1327408,,,,,,,,,1858128,,
重庆,联通,,,1327409,,,,,,,,,1858129,,
重庆,联通,,,1327490,,,,,,,,,1858130,,
重庆,联通,,,1327491,,,,,,,,,1858131,,
重庆,联通,,,1327492,,,,,,,,,1858132,,
重庆,联通,,,1327493,,,,,,,,,1858133,,
重庆,联通,,,1327494,,,,,,,,,1858134,,
重庆,联通,,,1327495,,,,,,,,,1858135,,
重庆,联通,,,1327496,,,,,,,,,1858136,,
重庆,联通,,,1327497,,,,,,,,,1858137,,
重庆,联通,,,1327498,,,,,,,,,1858138,,
重庆,联通,,,1327499,,,,,,,,,1858139,,
重庆,联通,,,1329000,,,,,,,,,1858140,,
重庆,联通,,,1329001,,,,,,,,,1858141,,
重庆,联通,,,1329002,,,,,,,,,1858142,,
重庆,联通,,,1329003,,,,,,,,,1858143,,
重庆,联通,,,1329004,,,,,,,,,1858144,,
重庆,联通,,,1329005,,,,,,,,,1858145,,
重庆,联通,,,1329006,,,,,,,,,1858146,,
重庆,联通,,,1329007,,,,,,,,,1858147,,
重庆,联通,,,1329008,,,,,,,,,1858148,,
重庆,联通,,,1329009,,,,,,,,,1858149,,
重庆,联通,,,,,,,,,,,,1858450,,
重庆,联通,,,,,,,,,,,,1858451,,
重庆,联通,,,,,,,,,,,,1858452,,
重庆,联通,,,,,,,,,,,,1858453,,
重庆,联通,,,,,,,,,,,,1858454,,
重庆,联通,,,,,,,,,,,,1858455,,
重庆,联通,,,,,,,,,,,,1858456,,
重庆,联通,,,,,,,,,,,,1858457,,
重庆,联通,,,,,,,,,,,,1858458,,
重庆,联通,,,,,,,,,,,,1858459,,
重庆,联通,,,,,,,,,,,,1858460,,
重庆,联通,,,,,,,,,,,,1858461,,
重庆,联通,,,,,,,,,,,,1858462,,
重庆,联通,,,,,,,,,,,,1858463,,
重庆,联通,,,,,,,,,,,,1858464,,
重庆,联通,,,,,,,,,,,,1858465,,
重庆,联通,,,,,,,,,,,,1858466,,
重庆,联通,,,,,,,,,,,,1858467,,
重庆,联通,,,,,,,,,,,,1858468,,
重庆,联通,,,,,,,,,,,,1858469,,
重庆,联通,,,,,,,,,,,,1858470,,
重庆,联通,,,,,,,,,,,,1858471,,
重庆,联通,,,,,,,,,,,,1858472,,
重庆,联通,,,,,,,,,,,,1858473,,
重庆,联通,,,,,,,,,,,,1858474,,
重庆,联通,,,,,,,,,,,,1858475,,
重庆,联通,,,,,,,,,,,,1858476,,
