省份,运营商,130 号段,131 号段,132 号段,145 号段,146 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
四川,联通,1309609,,,,,,,,,,,,,,
四川,联通,1309610,,,,,,,,,,,,,,
四川,联通,1309611,,,,,,,,,,,,,,
四川,联通,1309612,,,,,,,,,,,,,,
四川,联通,1309613,,,,,,,,,,,,,,
四川,联通,1309614,,,,,,,,,,,,,,
四川,联通,1309615,,,,,,,,,,,,,,
四川,联通,1309616,,,,,,,,,,,,,,
四川,联通,1309617,,,,,,,,,,,,,,
四川,联通,1309618,,,,,,,,,,,,,,
四川,联通,1309619,,,,,,,,,,,,,,
四川,联通,1309620,,,,,,,,,,,,,,
四川,联通,1309621,,,,,,,,,,,,,,
四川,联通,1309622,,,,,,,,,,,,,,
四川,联通,1309623,,,,,,,,,,,,,,
四川,联通,1309624,,,,,,,,,,,,,,
四川,联通,1309625,,,,,,,,,,,,,,
四川,联通,1309626,,,,,,,,,,,,,,
四川,联通,1309627,,,,,,,,,,,,,,
四川,联通,1309628,,,,,,,,,,,,,,
四川,联通,1309629,,,,,,,,,,,,,,
四川,联通,1309630,,,,,,,,,,,,,,
四川,联通,1309631,,,,,,,,,,,,,,
四川,联通,1309632,,,,,,,,,,,,,,
四川,联通,1309633,,,,,,,,,,,,,,
四川,联通,1309634,,,,,,,,,,,,,,
四川,联通,1309635,,,,,,,,,,,,,,
四川,联通,1309636,,,,,,,,,,,,,,
四川,联通,1309637,,,,,,,,,,,,,,
四川,联通,1309638,,,,,,,,,,,,,,
四川,联通,1309639,,,,,,,,,,,,,,
四川,联通,1309640,,,,,,,,,,,,,,
四川,联通,1309641,,,,,,,,,,,,,,
四川,联通,1309642,,,,,,,,,,,,,,
四川,联通,1309643,,,,,,,,,,,,,,
四川,联通,1309644,,,,,,,,,,,,,,
四川,联通,1309645,,,,,,,,,,,,,,
四川,联通,1309646,,,,,,,,,,,,,,
四川,联通,1309647,,,,,,,,,,,,,,
四川,联通,1309648,,,,,,,,,,,,,,
四川,联通,1309649,,,,,,,,,,,,,,
