省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
四川,移动,1340859,1354019,1362909,1373499,1388055,1398049,1470809,1508239,1518129,1522839,1570839,1582839,1592839,1651837,1703220,1721810,1782849,1820829,1832839,1842892,1872809,1882809,1952217,1972826,1982728
四川,移动,1340860,1354020,1364800,1373940,1388056,1398050,1470810,1508240,1518130,1522840,1570840,1582840,1592840,1651838,1703221,1721811,1782850,1820830,1832840,1842893,1872810,1882810,1952218,1972827,1982729
四川,移动,1340861,1354021,1364801,1373941,1388057,1398051,1470811,1508241,1518131,1522841,1570841,1582841,1592841,1651839,1703222,1721812,1782851,1820831,1832841,1842894,1872811,1882811,1952219,1972830,1982730
四川,移动,1340862,1354022,1364802,1373942,1388058,1398052,1470812,1508242,1518132,1522842,1570842,1582842,1592842,1651983,1703223,1721813,1782852,1820832,1832842,1842895,1872812,1882812,1952220,1972831,1982731
四川,移动,1340863,1354023,1364803,1373943,1388059,1398053,1470813,1508243,1518133,1522843,1570843,1582843,1592843,1651984,1703224,1721814,1782853,1820833,1832843,1842896,1872813,1882813,1952221,1972832,1982732
四川,移动,1340864,1354024,1364804,1373944,1388060,1398054,1470814,1508244,1518134,1522844,1570844,1582844,1592844,1651997,1703225,1721815,1782854,1820834,1832844,1842897,1872814,1882814,1952223,1972833,1982733
四川,移动,1340865,1354025,1364805,1373945,1388061,1398055,1470815,1508245,1518135,1522845,1570845,1582845,1592845,1652042,1703226,1721816,1782855,1820835,1832845,1842898,1872815,1882815,1952224,1972834,1982734
四川,移动,1340866,1354026,1364806,1373946,1388062,1398056,1470816,1508246,1518136,1522846,1570846,1582846,1592846,1652138,1703227,1721817,1782856,1820836,1832846,1842899,1872816,1882816,1952225,1972835,1982735
四川,移动,1340867,1354027,1364807,1373947,1388063,1398057,1470817,1508247,1518137,1522847,1570847,1582847,1592847,1652165,1703228,1721818,1782857,1820837,1832847,1844128,1872817,1882817,1952226,1972948,1982736
四川,移动,1340868,1354028,1364808,1373948,1388064,1398058,1470818,1508248,1518138,1522848,1570848,1582848,1592848,1652223,1703229,1721819,1782858,1820838,1832848,1844202,1872818,1882818,1952315,1973320,1982737
四川,移动,1340869,1354029,1364809,1373949,1388065,1398059,1470819,1508249,1518139,1522849,1570849,1582849,1592849,1652598,1703230,1721820,1782859,1820839,1832849,1844490,1872819,1882819,1952625,1973321,1982738
四川,移动,1341900,1354030,1364810,1374081,1388066,1398060,1470820,1508250,1518140,1522850,1571800,1582850,1592850,1652607,1703231,1721821,1782860,1821550,1832850,1844491,1872820,1882820,1952685,1973322,1982739
四川,移动,1341901,1354031,1364811,1377800,1388067,1398061,1470821,1508251,1518141,1522851,1571801,1582851,1592851,1652725,1703232,1721822,1782861,1821551,1832851,1844492,1872821,1882821,1952686,1973323,1982740
四川,移动,1341902,1354032,1364812,1377801,1388068,1398062,1470822,1508252,1518142,1522852,1571802,1582852,1592852,1652726,1703233,1721823,1782862,1821552,1832852,1844493,1872822,1882822,1952687,1973324,1982741
四川,移动,1341903,1354033,1364813,1377802,1388069,1398063,1470823,1508253,1518143,1522853,1571803,1582853,1592853,1652728,1703234,1721824,1782863,1821553,1832853,1844494,1872823,1882823,1952933,1973325,1982742
四川,移动,1341904,1354034,1364814,1377803,1388070,1398064,1470824,1508254,1518144,1522854,1571804,1582854,1592854,1652729,1703235,1721825,1782864,1821554,1832854,1844495,1872824,1882824,1952955,1973326,1982743
四川,移动,1341905,1354035,1364815,1377804,1388071,1398065,1470825,1508255,1518145,1522855,1571805,1582855,1592855,1652731,1703236,1721826,1782865,1821555,1832855,1844496,1872825,1882825,1953019,1973327,1982744
四川,移动,1341906,1354036,1364816,1377805,1388072,1398066,1470826,1508256,1518146,1522856,1571806,1582856,1592856,1652735,1703237,1721827,1782866,1821556,1832856,1844497,1872826,1882826,1953028,1973328,1982745
四川,移动,1341907,1354037,1364817,1377806,1388073,1398067,1470827,1508257,1518147,1522857,1571807,1582857,1592857,1652736,1703238,1721828,1782867,1821557,1832857,1844498,1872827,1882827,1953128,1973329,1982746
四川,移动,1341908,1354038,1364818,1377807,1388074,1398068,1470828,1508258,1518148,1522858,1571808,1582858,1592858,1652737,1703239,1721829,1782868,1821558,1832858,1844499,1872828,1882828,1953276,1973570,1982747
四川,移动,1341909,1354039,1364819,1377808,1388075,1398069,1470829,1508259,1518149,1522859,1571809,1582859,1592859,1652738,1703240,1721830,1782869,1821559,1832859,1848100,1872829,1882829,1953296,1973571,1982748
四川,移动,1341910,1354040,1364900,1377809,1388076,1398070,1470830,1508260,1518150,1522860,1571940,1582860,1592860,1652739,1703241,1721831,1782870,1821560,1832860,1848101,1872830,1882830,1953297,1973574,1982749
四川,移动,1341911,1354041,1364901,1377810,1388077,1398071,1470831,1508261,1518151,1522861,1571941,1582861,1592861,1652750,1703242,1721832,1782871,1821561,1832861,1848102,1872831,1882831,1953311,1973575,1982750
四川,移动,1341912,1354042,1364902,1377811,1388078,1398072,1470832,1508262,1518152,1522862,1571942,1582862,1592862,1652751,1703243,1721833,1782872,1821562,1832862,1848103,1872832,1882832,1953334,1973576,1982751
四川,移动,1341913,1354043,1364903,1377812,1388079,1398073,1470833,1508263,1518153,1522863,1571943,1582863,1592863,1652752,1703244,1721834,1782873,1821563,1832863,1848104,1872833,1882833,1953381,1973577,1982752
四川,移动,1341914,1354044,1364904,1377813,1388080,1398074,1470834,1508264,1518154,1522864,1571944,1582864,1592864,1652753,1703245,1721835,1782874,1821564,1832864,1848105,1872834,1882834,1953413,1973578,1982753
四川,移动,1341915,1354045,1364905,1377814,1388081,1398075,1470835,1508265,1518155,1522865,1571945,1582865,1592865,1652756,1703246,1721836,1782875,1821565,1832865,1848106,1872835,1882835,1953661,1973579,1982754
四川,移动,1341916,1354046,1364906,1377815,1388082,1398076,1470836,1508266,1518156,1522866,1571946,1582866,1592866,1652770,1703247,1721837,1782876,1821566,1832866,1848107,1872836,1882836,1953719,1973580,1982755
四川,移动,1341917,1354047,1364907,1377816,1388083,1398077,1470837,1508267,1518157,1522867,1571947,1582867,1592867,1652771,1703248,1721838,1782877,1821567,1832867,1848108,1872837,1882837,1953720,1973581,1982756
四川,移动,1341918,1354048,1364908,1377817,1388084,1398078,1470838,1508268,1518158,1522868,1571948,1582868,1592868,1652772,1703249,1721839,1782878,1821568,1832868,1848109,1872838,1882838,1953721,1973582,1982757
四川,移动,1341919,1354049,1364909,1377818,1388085,1398079,1470839,1508269,1518159,1522869,1571949,1582869,1592869,1652773,1703250,1724120,1782879,1821569,1832869,1848110,1872839,1882839,1953723,1973583,1982758
四川,移动,1341920,1354050,1365800,1377819,1388086,1398080,1470840,1508270,1518160,1522870,1572960,1582870,1592870,1652775,1703251,1724121,1782880,1821570,1832870,1848111,1872840,1882840,1953725,1973584,1982759
四川,移动,1341921,1354051,1365801,1377820,1388087,1398081,1470841,1508271,1518161,1522871,1572961,1582871,1592871,1652776,1703252,1724122,1782881,1821571,1832871,1848112,1872841,1882841,1953726,1973585,1982760
四川,移动,1341922,1354052,1365802,1377821,1388088,1398082,1470842,1508272,1518162,1522872,1572962,1582872,1592872,1652778,1703253,1724123,1782882,1821572,1832872,1848113,1872842,1882842,1953729,1973586,1982761
四川,移动,1341923,1354053,1365803,1377822,1388089,1398083,1470843,1508273,1518163,1522873,1572963,1582873,1592873,1652779,1703254,1724124,1782883,1821573,1832873,1848114,1872843,1882843,1953730,1973587,1982762
四川,移动,1341924,1354054,1365804,1377823,1388090,1398084,1470844,1508274,1518164,1522874,1572964,1582874,1592874,1653280,1703255,1724125,1782884,1821574,1832874,1848115,1872844,1882844,1953998,1973588,1982763
四川,移动,1341925,1354055,1365805,1377824,1388091,1398085,1470845,1508275,1518165,1522875,1572965,1582875,1592875,1653341,1703256,1724126,1782885,1821575,1832875,1848116,1872845,1882845,1954400,1973589,1982764
四川,移动,1341926,1354056,1365806,1377825,1388092,1398086,1470846,1508276,1518166,1522876,1572966,1582876,1592876,1653915,1703257,1724127,1782886,1821576,1832876,1848117,1872846,1882846,1954401,1973590,1982765
