省份,运营商,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
海南,移动,,,,,,,,,,,,,,,,,,,,,1888992,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888993,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888994,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888995,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888996,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888997,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888998,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888999,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1889820,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1889821,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1889822,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1889823,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1889824,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1889825,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1889826,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1889827,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1889828,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1889829,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1889890,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1889891,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1889892,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1889893,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1889894,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1889895,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1889896,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1889897,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1889898,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1889899,,,
